id,country_id,start_date,name,caretaker,wikipedia,data_source,description,comment,previous_cabinet_id,previous_parliament_election_id,previous_ep_election_id,old_countryID,old_cabID
15,68,2005-04-25,Paroubek,0,http://en.wikipedia.org/wiki/Ji%C5%99%C3%AD_Paroubek,afp,"PM Paroubek was appointed on 25 April 2005 and cabinet won an investiture vote (yes: 101, no: 99) on 13 May.
Cabinet ended with election on 3 June 2006 and resigned on 16 August.",,580,487,567,203,20050
16,35,1979-10-11,Falldin II,0,http://sv.wikipedia.org/wiki/Regeringen_F%C3%A4lldin_II,"mueller, nyt, riksdag","Parliament passed an investiture vote (yes: 170, no: 174, abstain: 1) on 11 October 1979 with no absolute majority against the cabinet.
PM Fälldin and Foreign Minister Ullsten, head of the Liberals (FP), resigned on 8 May 1981 following the withdrawal of the Moderate Party (MSP) from the coalition four days earlier.",Negative parliamentarism (Bergmann 1993: 297).,587,473,,752,19790
17,43,1974-03-01,Messmer III,0,http://fr.wikipedia.org/wiki/Gouvernement_Pierre_Messmer_(3),pa-84,,,607,357,,250,19740
18,74,2003-03-01,Miller II,0,http://en.wikipedia.org/wiki/Leszek_Miller,mue-rom,,,357,565,,616,20030
19,44,2001-06-07,Blair II,0,http://en.wikipedia.org/wiki/Blair_Ministry,,,,838,208,686,826,20010
20,40,1975-12-10,Bundesrat 1975,0,,,,,79,371,,756,19750
21,43,1976-08-17,Barre I,0,http://fr.wikipedia.org/wiki/Gouvernement_Raymond_Barre_(1),"nyt, pa-84",PM Barre formally resigned on 30 March 1978. ,,159,357,,250,19760
23,55,2000-05-04,Berzins,0,http://en.wikipedia.org/wiki/Andris_Berzins,mue-rom,,,110,615,,428,20000
24,26,1973-07-07,Rumor IV,0,http://it.wikipedia.org/wiki/Governo_Rumor_IV,mueller,,,439,65,,380,19730
25,29,1972-11-27,Trudeau P III,0,,nyt,Minority cabinet was supported by New Democratic Party (NDP).,,696,552,,124,19720
26,1,1994-12-13,Meciar VI,0,http://en.wikipedia.org/wiki/Vladim%C3%ADr_Me%C4%8Diar,mue-rom,,,817,119,,703,19941
27,7,1979-07-16,Werner IV,0,http://lb.wikipedia.org/wiki/Regierung_Werner-Thorn-Flesch,,,,655,606,589,442,19790
28,23,2006-12-07,Popescu-Tariceanu II,0,http://en.wikipedia.org/wiki/C%C4%83lin_Popescu-T%C4%83riceanu,"mue-rom, nyt",,,509,165,,642,20060
29,64,1944-12-12,Pierlot V,1,http://en.wikipedia.org/wiki/Hubert_Pierlot,,Provisional cabinet continued in office on 12 December 1944.,,593,882,,56,19441
31,54,1963-10-16,Erhard I,0,http://de.wikipedia.org/wiki/Kabinett_Erhard_I,,,,62,381,,276,19630
32,43,1952-01-20,Faure I,0,http://fr.wikipedia.org/wiki/Gouvernement_Edgar_Faure_%281%29,pa-84,,"Party ""Payson"" could not be identified. ",826,293,,250,19520
33,41,1996-09-24,Simitis II,0,,,"Cabinet won an investiture vote (yes: 161, no: 134, absent: 5) on 12 October 1996.
",,281,399,613,300,19961
34,67,1982-12-31,Sorsa V,0,http://en.wikipedia.org/wiki/Kalevi_Sorsa,"nyt, valt",,,378,84,,246,19821
35,8,1963-07-24,Marijnen,0,http://en.wikipedia.org/wiki/Netherlands_cabinet_Marijnen,,,,694,529,,528,19630
36,21,1950-10-30,Eriksen I,0,http://da.wikipedia.org/wiki/Regeringen_Erik_Eriksen,"mueller, nyt",Cabinet ended with elections on 21 April 1953 and resigned a day after the election.,,853,430,,208,19501
37,27,1989-12-05,Gonzalez III,0,https://en.wikipedia.org/wiki/Third_government_of_Felipe_Gonz%C3%A1lez,,,"Socialist Party (PSOE) had a working majority because the four deputies from the Basque nationalist Herri Batasuna (HB) boycotted parliament (Hamann 1999, 121).",834,289,474,724,19890
38,40,1995-12-13,Bundesrat 1995,0,,,,,773,105,,756,19950
39,41,1985-07-26,Papandreou A III,0,,,,,60,453,87,300,19851
40,64,1948-11-26,Spaak IV,0,http://en.wikipedia.org/wiki/Paul-Henri_Spaak,mueller,,"Not coded in Müller/Strom as a distinct cabinet. However, the king had accepted the formal resignation of the preceding cabinet (De Winter 2000, 320).",496,19,,56,19480
41,67,1990-08-28,Holkeri II,0,http://en.wikipedia.org/wiki/Harri_Holkeri,"mueller, valt",,,614,527,,246,19900
42,55,2007-12-20,Godmanis II,0,http://en.wikipedia.org/wiki/Ivars_Godmanis,"bbc, nyt",,"The international financial crisis caused major political turmoil in Latvia. Godmanis survived a confidence vote (yes: 51, no: 40) on 3 February 2009. However, following coalition internal conflicts the People's Party as well as the Green and Farmers' Union demanded the resignation of the prime minister and he stepped down on 20 February 2009.",680,52,145,428,20070
44,11,1966-11-26,Holyoake IV,0,http://en.wikipedia.org/wiki/Second_National_Government_of_New_Zealand,,,,668,391,,554,19660
45,9,1997-10-17,Bondevik I,0,http://en.wikipedia.org/wiki/Kjell_Magne_Bondevik,"afp, reg-no","Government was appointed on 17 October 1997.
Cabinet resigned on 9 March 2000, effective 17 March, after losing a confidence vote (yes: 71, no: 81, abstain: 13) on environmental legislation.",,813,669,,578,19970
46,43,2005-05-31,Villepin,0,http://fr.wikipedia.org/wiki/Gouvernement_Dominique_de_Villepin,"bbc, ejpr, nyt",,,802,403,160,250,20050
47,15,1996-12-10,Vagnorius II,0,https://en.wikipedia.org/wiki/Vagnorius_Cabinet_II,"mue-rom, reuters","PM Vagnorius won an investiture vote (yes: 95, no: 5, abstain: 20) on 27 November 1996 and cabinet (yes: 87, no: 21) on 10 December.
Cabinet resigned on 26 February 1998, a constitutional requirement after a presidential election.",,91,566,,440,19961
48,5,1960-12-08,Ikeda II,0,,,,,241,345,,392,19601
49,33,1993-03-24,Keating II,0,http://en.wikipedia.org/wiki/Second_Keating_Ministry,aph-11,,,725,753,,36,19930
50,21,1975-02-13,Jorgensen II,0,http://da.wikipedia.org/wiki/Regeringen_Anker_J%C3%B8rgensen_II,"folketing, nyt","Minority cabinet was supported by Centre Democrats (CD), Danish Social-Liberal Party (RV), Conservatives (KF), Christian People's Party (KrF) ",,744,464,,208,19750
51,21,1957-05-28,Hansen II,0,http://da.wikipedia.org/wiki/Regeringen_H.C._Hansen_II,mueller,,,218,263,,208,19570
52,43,1946-12-16,Blum,0,http://fr.wikipedia.org/wiki/Gouvernement_L%C3%A9on_Blum_(3),be-70,,,150,75,,250,19462
53,9,1963-08-28,Lyng,0,http://en.wikipedia.org/wiki/John_Lyng,"nyt, reg-no","Cabinet was appointed on 28 August 1963.
Cabinet lost a confidence vote on 20 September (yes: 74, no: 76) and resigned on 25 September.",,98,622,,578,19630
54,37,1982-03-09,Haughey II,0,,,,,335,228,414,372,19820
55,29,2000-11-27,Chretien III,0,,,,,182,455,,124,20000
56,9,1973-10-16,Bratteli II,0,http://en.wikipedia.org/wiki/Bratteli%27s_Second_Cabinet,"nyt, reg-no","Cabinet was appointed on 16 October 1973.
PM Bratteli announced his resignation intend in September 1975 and formally resigned on 9 January 1976, effective 15 January.",,822,523,,578,19730
57,21,1988-06-03,Schluter IV,0,http://da.wikipedia.org/wiki/Regeringen_Poul_Schl%C3%BCter_III,mueller,,,837,387,128,208,19880
58,9,1945-11-05,Gerhardsen II,0,http://en.wikipedia.org/wiki/Einar_Gerhardsen,,,,666,220,,578,19451
59,5,1974-12-09,Miki,0,,,,,502,333,,392,19740
60,41,1985-06-05,Papandreou A II,0,,,,,713,453,87,300,19850
61,9,1957-10-07,Gerhardsen V,0,http://en.wikipedia.org/wiki/Einar_Gerhardsen,mueller,,,221,429,,578,19570
62,54,1961-11-14,Adenauer VII,0,http://de.wikipedia.org/wiki/Kabinett_Adenauer_IV,nyt,Adenauer lost support of his party and was forced to resign on 11 November 1963.,,906,381,,276,19610
63,44,1963-10-18,Douglas-Home,0,http://en.wikipedia.org/wiki/Conservative_Government_1957-1964,bpf,,,237,161,,826,19630
64,23,2000-12-20,Nastase I,0,http://en.wikipedia.org/wiki/Adrian_N%C4%83stase,"afp, reuters","PM Nastase was appointed on 20 December 2000. The cabinet won an investiture vote (yes: 314, no 145) on 28 December in a joint sitting of parliament and was appointed the same day.
Minority cabinet was supported by Liberals (PNL) and ethnic Hungarians (UDMR).
Cabinet ended with a reshuffle on 19 June 2003 to reduce cabinet size.",,171,336,,642,20000
65,8,2006-07-07,Balkenende IV,1,http://en.wikipedia.org/wiki/Netherlands_cabinet_Balkenende-3,,,D66 withdrew from the Balkenende II government and Balkenende III caretaker cabinet came into office to prepare the 2006 election and the 2007 budget.,124,335,519,528,20060
66,11,1951-09-01,Holland II,0,http://en.wikipedia.org/wiki/First_National_Government_of_New_Zealand,,,,717,366,,554,19510
67,33,1966-12-14,Holt II,0,http://en.wikipedia.org/wiki/Second_Holt_Ministry,"hug-77, nyt",Cabinet ended on 18 December 1967 after PM Holt presumed drowned in a swimming accident.,,261,764,,36,19661
68,74,1992-07-11,Suchocka I,0,https://en.wikipedia.org/wiki/Cabinet_of_Hanna_Suchocka,afp,"Cabinet was nominated on 8 July 1992 and won an investiture vote on 11 July (yes: 226, no: 124, abstain: 28).
Cabinet resigned on 28 May 1993 after losing a confidence vote (yes: 198, no: 223, abstain: 24) by one vote.",,605,211,,616,19921
69,8,2007-02-22,Balkenende V,0,http://en.wikipedia.org/wiki/Netherlands_cabinet_Balkenende-4,"ejpr, nyt",,The government collapsed on 20 February 2010 over disagreements on extending troop deployments in Afghanistan. PvdA pulled out of the coalition and Queen Beatrix accepted the resignation of their ministers on 23 February.,65,578,519,528,20070
70,29,1980-03-03,Trudeau P V,0,https://en.wikipedia.org/wiki/22nd_Canadian_Ministry,,,,751,139,,124,19800
71,21,2009-04-05,Rasmussen L I,0,http://en.wikipedia.org/wiki/Cabinet_of_Lars_L%C3%B8kke_Rasmussen,reuters,PM Rasmussen called an early election on 26 August 2011.,,788,174,168,208,20090
72,43,1978-03-31,Barre II,0,http://fr.wikipedia.org/wiki/Gouvernement_Raymond_Barre_(2),"nyt, pa-84",,,21,496,,250,19770
73,23,1996-12-11,Ciorbea,0,http://en.wikipedia.org/wiki/Victor_Ciorbea,reuters,"Parties signed a coalition agreement on 6 December 1996. Cabinet won an investiture vote (yes: 316, no: 152) on 11 December in a joint sitting of parliament and was appointed the day after.
Cabinet ended on 29 January 1998 when Democrats (PD) withdrew. PM Ciorbea resigned on 30 March 1998 and interim PM Dejeu was appointed the same day.",,102,49,,642,19961
74,41,1993-10-13,Papandreou A IV,0,,,"Cabinet won an investiture vote (yes: 170, no: 129, absent: 1) on 25 October 1993.
",,362,654,518,300,19930
75,74,1991-01-12,Bielecki,0,http://en.wikipedia.org/wiki/Jan_Krzysztof_Bielecki,"ap, nyt",,,728,158,,616,19910
76,68,1998-01-02,Tosovsky,1,http://en.wikipedia.org/wiki/Josef_To%C5%A1ovsk%C3%BD,reuters,"Interim PM Tosovsky and the caretaker cabinet were appointed on 2 January 1998 and won an investiture vote on 28 January (yes: 123, no 71, abstain: 3).
Minority cabinet was supported by Czech Social Democratic Party (CSSD).
Cabinet ended with an early election on 20 June 1998.",,136,301,,203,19980
77,37,1987-03-10,Haughey III,0,,,,,867,43,344,372,19870
78,67,1948-07-29,Fagerholm I,0,http://en.wikipedia.org/wiki/Karl-August_Fagerholm,valt,,,125,187,,246,19480
79,40,1971-12-08,Bundesrat 1971,0,,,,,777,176,,756,19710
80,64,2008-12-30,Rompuy,0,http://en.wikipedia.org/wiki/Van_Rompuy_I_Government,"afp, nzz","Cabinet was appointed on 30 December 2008 and won an investiture vote on 2 January 2009 (yes: 88, no: 45).
Cabinet ended on 19 November 2009 after PM van Rompuy was chosen as President of the European Council and cabinet resigned on 24 November.",,264,401,656,56,20081
81,9,1981-02-04,Brundtland I,0,http://en.wikipedia.org/wiki/Gro_Harlem_Brundtland,mueller,,,653,499,,578,19810
83,72,1981-12-18,Mintoff V,0,,,,,606,136,,470,19810
84,26,1982-08-23,Spadolini II,0,http://it.wikipedia.org/wiki/Governo_Spadolini_II,"ap, mueller","Previous cabinet reformed on 23 August 1982. 
PM Spadolini requested to resign on 11 November 1982 and submitted a second request two days later.",,674,604,353,380,19821
85,54,2005-11-22,Merkel I,0,http://en.wikipedia.org/wiki/Merkel_Cabinet_I,,,,529,118,18,276,20050
86,26,1980-04-04,Cossiga II,0,http://it.wikipedia.org/wiki/Governo_Cossiga_II,mueller,,,578,604,353,380,19800
87,26,1982-12-01,Fanfani V,0,http://it.wikipedia.org/wiki/Governo_Fanfani_V,mueller,,,84,604,353,380,19820
88,44,1950-02-28,Attlee II,0,http://en.wikipedia.org/wiki/Labour_Government_1945-1951,,,,99,625,,826,19500
89,26,1970-08-06,Colombo,0,http://it.wikipedia.org/wiki/Governo_Colombo,mueller,,,113,261,,380,19701
90,26,1954-01-18,Fanfani I,0,http://it.wikipedia.org/wiki/Governo_Fanfani_I,mueller,,,798,642,,380,19540
91,15,1996-02-15,Stankevicius,0,https://en.wikipedia.org/wiki/Stankevi%C4%8Dius_Cabinet,"ap, mue-rom","PM Stankevičius won an investiture vote (yes: 70, no: 6) on 15 February 1996.
Cabinet ended with election on 20 October 1996.",,811,439,,440,19960
92,64,1987-10-21,Martens VII,1,http://en.wikipedia.org/wiki/Wilfried_Martens,mueller,,,375,396,10,56,19870
94,9,1989-10-16,Syse,0,http://en.wikipedia.org/wiki/Jan_P._Syse,"nyt, reg-no","Cabinet was appointed on 16 October 1989.
Goverment collapsed on 29 October 1990 over the country's links to the European Community and formally resigned on 3 November.",,394,571,,578,19890
95,64,1995-06-23,Dehaene II,0,http://en.wikipedia.org/wiki/Jean-Luc_Dehaene,ejpr,,,624,332,536,56,19950
96,8,1946-07-03,Beel I,0,http://en.wikipedia.org/wiki/Netherlands_cabinet_Beel-1,,,,767,182,,528,19460
97,11,1972-12-08,Kirk,0,,,,,569,1,,554,19721
98,9,1961-09-11,Gerhardsen VI,0,http://en.wikipedia.org/wiki/Einar_Gerhardsen,"nyt, reg-no",Gerhardsen lost a confidence vote (yes: 74 no: 76) on 23 August 1963 and the cabinet resigned on 28 August.,,61,622,,578,19610
99,44,1945-07-26,Attlee I,0,http://en.wikipedia.org/wiki/Labour_Government_1945-1951,bpf,,,1520,609,,826,19450
100,67,1995-04-13,Lipponen I,0,http://en.wikipedia.org/wiki/Paavo_Lipponen's_first_cabinet,valt,"Cabinet won an investiture vote (yes: 139, no: 49, absent: 11) on 28 April 1995.
",,206,24,193,246,19950
101,7,1969-02-06,Werner III,0,http://lb.wikipedia.org/wiki/Regierung_Werner-Schaus_II,,,,491,166,,442,19690
102,23,1996-09-02,Vacaroiu III,0,http://en.wikipedia.org/wiki/Vacaroiu,mue-rom,,,447,416,,642,19960
103,29,2003-12-12,Martin I,0,http://en.wikipedia.org/wiki/Twenty-Seventh_Canadian_Ministry,,,,55,455,,124,20030
104,43,1951-03-10,Queuille III,0,http://fr.wikipedia.org/wiki/Gouvernement_Henri_Queuille_(3),pa-84,,,367,75,,250,19510
105,59,1956-06-29,Raab II,0,http://de.wikipedia.org/wiki/Bundesregierung_Raab_II,"mueller, nyt","Cabinet was appointed on 29 June 1956.
On 9 March 1959, coalition parties agreed to call an early election after disagreement over housing and tax policies.
Cabinet ended with an early election on 10 May 1959 and resigned two days later.",,659,169,,40,19560
106,5,1989-08-10,Kaifu I,0,,,,,743,506,,392,19891
107,54,1998-10-27,Schroeder I,0,http://de.wikipedia.org/wiki/Kabinett_Schr%C3%B6der_I,,,,778,679,540,276,19980
108,33,2010-09-14,Gillard II,0,http://en.wikipedia.org/wiki/Gillard_Ministry,reuters,"PM Gillard formed a minority cabinet on 7 September 2010 after having found the support of four independent and one Green MP.
Cabinet was appointed on 14 September. 
Cabinet ended with resignation of PM Gillard on 26 June 2013 after a leadership vote within the Labor Party (ALP).",,736,246,,36,20101
109,10,1994-10-16,Indzhova,1,http://en.wikipedia.org/wiki/Reneta_Indzhova,reuters,"Caretaker cabinet was appointed on 16 October 1994.
Cabinet ended with an early election on 18 December 1994.",,462,32,,100,19940
110,55,1999-07-16,Skele III,0,http://en.wikipedia.org/wiki/Andris_Skele,mue-rom,,,469,615,,428,19991
111,43,1969-06-22,Chaban-Delmas,0,http://fr.wikipedia.org/wiki/Gouvernement_Jacques_Chaban-Delmas,pa-84,,,131,386,,250,19690
112,64,1958-06-23,Eyskens G II,0,http://en.wikipedia.org/wiki/Gaston_Eyskens,mueller,,,745,573,,56,19580
113,26,1970-03-27,Rumor III,0,http://it.wikipedia.org/wiki/Governo_Rumor_III,mueller,,,548,261,,380,19700
114,59,1959-07-16,Raab III,0,http://de.wikipedia.org/wiki/Bundesregierung_Raab_III,"mueller, nyt","Cabinet was appointed on 16 July 1959. 
Cabinet submited its resignation on 22 October 1960 after disputes over 1961 budget and resigned on 3 November.",,105,347,,40,19590
115,67,1970-07-15,Karjalainen II,0,http://fi.wikipedia.org/wiki/Karjalaisen_toinen_hallitus,"keesings, nyt","Cabinet was appointed on 15 July 1970
Cabinet requested to resign on 17 March 1971 after internal divisions and it was reshuffled on 26 March.",,707,77,,246,19701
116,43,1981-06-23,Mauroy II,0,http://fr.wikipedia.org/wiki/Gouvernement_Pierre_Mauroy_%282%29,pa-84,,"cabinet ended by formal resignation; junior minister of MRG in cabinet but no minister
Party ""Movement of democrates"" could not be identified. ",1148,20,677,250,19811
117,26,2006-05-17,Prodi II,0,http://en.wikipedia.org/wiki/Prodi_II_Cabinet,ejpr,,,567,107,329,380,20060
118,23,2007-04-05,Popescu-Tariceanu III,0,http://en.wikipedia.org/wiki/C%C4%83lin_Popescu-T%C4%83riceanu,ejpr,"Cabinet won an investiture vote (yes: 303, no: 27) on 3 April 2007.
",,28,165,4,642,20070
119,44,2007-06-27,Brown,0,http://en.wikipedia.org/wiki/Brown_Ministry,bpf,Cabinet ended with election on 6 May 2010 and PM Brown resigned on 11 May following electoral defeat.,,516,233,196,826,20070
120,67,1944-11-17,Paasikivi I,0,http://fi.wikipedia.org/wiki/Paasikiven_II_hallitus,valt,,,305,297,,246,19442
121,11,1984-07-26,Lange I,0,,,,,259,56,,554,19840
122,72,1984-12-22,Mifsud Bonnici,0,,,,,83,136,,470,19840
123,26,1950-01-21,De Gasperi V,0,http://it.wikipedia.org/wiki/Governo_De_Gasperi_VI,mueller,,,676,467,,380,19500
124,8,2003-05-27,Balkenende III,0,http://en.wikipedia.org/wiki/Balkenende_II,,,,1105,335,177,528,20030
125,67,1946-03-26,Pekkala,0,http://en.wikipedia.org/wiki/Mauno_Pekkala,valt,,,815,101,,246,19460
126,37,1997-06-26,Ahern I,0,,,"PM Ahern won an investiture vote (yes: 85, no: 78) on 26 June 1997.
",,573,316,34,372,19970
127,56,1989-09-10,Hermannsson III,0,http://en.wikipedia.org/wiki/Steingr%C3%ADmur_Hermannsson,indridason,,,301,673,,352,19890
128,8,1948-08-07,Drees I,0,http://en.wikipedia.org/wiki/Netherlands_cabinet_Drees-1,,,Cabinet fell after VVD ministers resigned following a VVD vote supporting a motion of no-confidence that had no majority in parliament.,96,497,,528,19480
129,40,1983-12-07,Bundesrat 1983,0,,,,,723,631,,756,19830
130,56,2003-05-23,Oddsson IV,0,http://en.wikipedia.org/wiki/Dav%C3%AD%C3%B0_Oddsson,ejpr,,,177,178,,352,20030
131,43,1968-07-12,Murville,0,http://fr.wikipedia.org/wiki/Gouvernement_Maurice_Couve_de_Murville,pa-84,,,662,386,,250,19681
132,74,1991-12-23,Olszewski,0,http://en.wikipedia.org/wiki/Jan_Olszewski,"afp, reuters","Government was appointed on 23 December 1991 after winning a confidence vote (yes: 235, no: 60, abstain: 139).
Government lost a vote of confidence on 4 June 1992 (yes: 119, no, 273, abstain: 33) after communist secret police files were distributed.",,75,211,,616,19911
133,59,1945-12-04,Figl I,0,http://de.wikipedia.org/wiki/Bundesregierung_Figl_I,"mueller, oepa","PM Figl was appointed on 4 December and the cabinet on 20 December.
Cabinet ended on 20 November 1947 when the Communist Party (KPO) withdrew from the coalition.
",,452,402,,40,19451
134,5,2007-09-26,Fukuda Y,0,,ejpr,,,390,554,,392,20071
135,63,1981-09-04,Balsemao II,0,,,,,396,281,,620,19811
136,68,1996-07-02,Klaus III,0,http://en.wikipedia.org/wiki/V%C3%A1clav_Klaus,"ap, reuters","PM Klaus was appointed on 2 July 1996 and the cabinet a day after. The cabinet won an investiture vote on 25 July (yes: 98, no: 40) through absent votes by the Social Democrats (CSSD). 
Two smaller coalition parties (KDU/CSL and ODA) withdrew from cabinet on 28/29 November 1997 and cabinet resigned on 30 November.",,835,301,,203,19960
137,35,1976-10-07,Falldin I,0,http://sv.wikipedia.org/wiki/Regeringen_F%C3%A4lldin_I,"berg-93, keesings, mueller","Cabinet won an investiture vote (yes: 174, no: 160, abstain: 0). 
Cabinet resigned on 5 October in disagreement over nuclear energy policy.",,438,262,,752,19760
138,75,2003-04-10,Parts,0,http://en.wikipedia.org/wiki/Juhan_Parts,mue-rom,,,152,423,,233,20030
139,67,1964-09-12,Virolainen,0,http://en.wikipedia.org/wiki/Johannes_Virolainen,"nyt, valt",Cabinet was appointed on 12 September 1964.,,332,354,,246,19640
140,26,1976-07-29,Andreotti III,0,http://it.wikipedia.org/wiki/Governo_Andreotti_III,nyt,"PM Andreotti was appointed on 29 July 1978 and the cabinet the day after.
Cabinet resigned on 16 January 1978 after losing minority support.",,842,502,,380,19761
142,35,1981-05-19,Falldin III,0,http://sv.wikipedia.org/wiki/Regeringen_F%C3%A4lldin_III,mueller,"Parliament passed an investiture vote (yes: 102, no: 174, abstain: 62) on 22 Mai 1981 with no absolute majority against the cabinet.
Cabinet ended with election on 19 September 1982.",Negative parliamentarism (Bergmann 1993: 297). ,16,473,,752,19810
143,67,1975-06-13,Liinamaa,1,http://en.wikipedia.org/wiki/Keijo_Liinamaa,valt,,,769,636,,246,19750
144,64,1958-11-06,Eyskens G III,0,http://en.wikipedia.org/wiki/Gaston_Eyskens,mueller,,,112,573,,56,19581
145,60,1994-04-08,Drnovsek III,0,http://en.wikipedia.org/wiki/Janez_Drnovsek,bbc,"Continuation cabinet started on 8 April 1994 with a change in party composition of the previous cabinet.
It ended on 26 January 1996 when the Social Democrats (ZLSD) withdrew.",,559,382,,705,19940
146,5,1986-07-22,Nakasone III,0,,,,,568,506,,392,19860
147,54,1949-09-20,Adenauer I,0,http://de.wikipedia.org/wiki/Kabinett_Adenauer_I,,,,1578,581,,276,19490
148,8,1989-11-07,Lubbers III,0,http://en.wikipedia.org/wiki/Netherlands_cabinet_Lubbers-3,,,,550,627,587,528,19890
149,26,1974-11-23,Moro IV,0,http://it.wikipedia.org/wiki/Governo_Moro_IV,mueller,,,317,65,,380,19741
150,43,1946-06-24,Bidault I,1,http://fr.wikipedia.org/wiki/Gouvernement_Georges_Bidault_(1),be-70,,,648,348,,250,19461
151,37,1944-06-09,Valera VII,0,http://en.wikipedia.org/wiki/Government_of_the_12th_D%C3%A1il,,,,1445,122,,372,19440
152,75,2002-01-28,Kallas S,0,http://en.wikipedia.org/wiki/Siim_Kallas,mue-rom,,,480,239,,233,20020
153,55,2004-03-09,Emsis,0,http://en.wikipedia.org/wiki/Indulis_Emsis,mue-rom,,,661,260,,428,20040
154,37,1948-02-18,Costello I,0,http://en.wikipedia.org/wiki/Government_of_the_13th_D%C3%A1il,,,,151,60,,372,19480
155,33,1990-04-04,Hawke IV,0,http://en.wikipedia.org/wiki/Fourth_Hawke_Ministry,aph-11,,,875,752,,36,19900
156,35,1996-03-21,Persson I,0,http://en.wikipedia.org/wiki/Cabinet_of_G%C3%B6ran_Persson,"mueller, reuters","PM Persson won an investiture vote (yes: 178, no: 0, abstain: 154) on 21 March 1996.
",,528,412,55,752,19960
157,68,2009-04-09,Fischer,1,http://en.wikipedia.org/wiki/Jan_Fischer_%28Czech_politician%29,"ctk, reuters","Interim PM Fischer was appointed on 9 April 2009 and the caretaker cabinet on 8 May. He was nominated by Civic Democratics (ODS), Social Democrats (CSSD), Greens (SZ) and won an investiture vote on 7 June (yes: 156).
Cabinet ended with election on 29 May 2010 and resigned on 25 June.",,260,50,567,203,20090
158,56,1995-04-13,Oddsson II,0,http://en.wikipedia.org/wiki/Dav%C3%AD%C3%B0_Oddsson,indridason,,,640,82,,352,19950
159,43,1974-05-28,Chirac I,0,http://fr.wikipedia.org/wiki/Gouvernement_Jacques_Chirac_%281%29,pa-84,,,17,357,,250,19741
160,72,2003-04-15,Fenech Adami IV,0,,,,,582,509,,470,20030
161,67,1954-05-05,Torngren,0,http://en.wikipedia.org/wiki/Ralf_Törngren,valt,,,738,71,,246,19540
162,39,2009-04-14,Bajnai,0,http://en.wikipedia.org/wiki/Gordon_Bajnai,w,,,706,194,224,348,20090
163,5,2000-07-04,Mori II,0,,ejpr,,,211,237,,392,20001
164,74,2007-11-16,Tusk I,0,http://en.wikipedia.org/wiki/First_Cabinet_of_Donald_Tusk,"bbc, reuters","Tusk was designated as prime minister on 9 November 2007 and appointed on 16 November. The cabinet won an investiture vote on 24 November (yes: 238, no: 204) and ended with elections on 9 October 2011.",,356,560,199,616,20071
165,68,1992-07-02,Klaus I,0,http://en.wikipedia.org/wiki/V%C3%A1clav_Klaus,reuters,"PM Klaus was appointed on 2 July 1992 heading the Czech regional government.
Cabinet won an investiture vote (yes: 106, no: 94, abstain: 0). 
Cabinet ended on 31 December 1993 with the dissolution of the Czech and Slovak Federal Republic.",,262,39,,203,19920
