id,country_id,family_id,name_short,name_english,name,name_ascii,name_nonlatin,wikipedia,data_source,description,comment,cmp,euprofiler,ees,morgan,castles_mair,huber_inglehart,ray,benoit_laver,chess,old_countryID,old_partyID
19,68,16,HSD-SMS,Movement for Self-Governing Democracy -- Society for Moravia and Silesia,Hnutí za samosprávnou demokracii – Společnost pro Moravu a Slezsko,Hnuti za samospravnou demokracii -- Spolecnost pro Moravu a Slezsko,,http://en.wikipedia.org/wiki/Movement_for_Autonomous_Democracy%E2%80%93Party_for_Moravia_and_Silesia,,New party formed on 4 April 1990.,,82951,,,,,,,,,203,18
20,1,40,PSNS,Real Slovak National Party,Pravá Slovenská národná strana,Prava Slovenska narodna strana,,http://en.wikipedia.org/wiki/True_Slovak_National_Party,sita,,,,,,,,,,,2808,703,31
21,15,19,LZP,Lithuanian Green Party,Lietuvos žalioji partija,Lietuvos zalioji partija,,https://en.wikipedia.org/wiki/Lithuanian_Green_Party,,,,,,,,,,,,,440,57
25,75,16,SK,Independent Royalists,Sõltumatud Kuningriiklased,Soltumatud Kuningriiklased,,http://en.wikipedia.org/wiki/Independent_Royalist_Party_of_Estonia,buga,,,83901,,,,,,,,,233,30
26,40,6,FDP-PRD,Radical Democratic Party,Freisinnig-Demokratische Partei der Schweiz – Parti Radical-Democratique Suisse,Freisinnig-Demokratische Partei der Schweiz -- Parti Radical-Democratique Suisse,,http://en.wikipedia.org/wiki/Free_Democratic_Party_of_Switzerland,,,,43420,289,,,,3803,1703,8028,,756,47
27,9,14,NKP,Communist Party of Norway,Norges Kommunistiske Parti,Norges Kommunistiske Parti,,http://en.wikipedia.org/wiki/Communist_Party_of_Norway,,,,12220,,,44,,,1501,,,578,24
28,15,16,LLRA,Election Action of Lithuania's Poles,Lietuvos lenkų rinkimų akcija,Lietuvos lenku rinkimu akcija,,http://en.wikipedia.org/wiki/Election_Action_of_Lithuania's_Poles,,New party formed on 28 August 1994.,,88951,,1440952,,,,,,2511,440,20
29,68,40,CNSP,Czech National Social(ist) Party,Česká národně strana socialistická,Ceska narodne strana socialisticka,,http://en.wikipedia.org/wiki/Czech_National_Social_Party,ctk,Party merged with National Socialists - 21st Century Left (LEV21) on 26 November 2011.,,,,,,,,,,,203,55
30,37,12,none,no party affiliation,no party affiliation,no party affiliation,,,,,,,,1372000,,,,,,,372,990
31,34,16,Mo,Heritage,Morasha,Morasha,מורשה‎,http://en.wikipedia.org/wiki/Morasha,,,,72534,,,,,,,,,376,34
32,55,6,TSP,National Harmony Party,Tautas Saskaņas Partija,Tautas Saskanas Partija,,http://en.wikipedia.org/wiki/Tautas_Saskanas_Partija,,,,87421,,,,,,,2184,2402,428,52
35,40,11,SP-PS,Social Democratic Party of Switzerland,Sozialdemokratische Partei der Schweiz – Parti Socialiste Suisse,Sozialdemokratische Partei der Schweiz -- Parti Socialiste Suisse,,http://en.wikipedia.org/wiki/Social_Democratic_Party_of_Switzerland,,,,43320,291,,,,3801,1704,8108,3602,756,33
41,54,26,FW,Free Voters,Freie Wähler,Freie Waehler,,https://de.wikipedia.org/wiki/Freie_W%C3%A4hler_(Bundesvereinigung),,New party formed on 24 January 2009. ,,,121,,,,,,,,276,69
42,55,16,LTF,Popular Front of Latvia,Latvijas Tautas fronte,Latvijas Tautas fronte,,http://en.wikipedia.org/wiki/Latvian_Popular_Front,,,,,,,,,,,,,428,10
44,1,14,KSS,Communist Party of Slovakia,Komunistická strana Slovenska,Komunisticka strana Slovenska,,http://en.wikipedia.org/wiki/Communist_Party_of_Slovakia,,Party formed on 28 August 1992. ,,96222,,1703222,,,,,3928,2807,703,52
47,41,3,ND,New Democracy,Néa Đimokratía,Nea Dimokratia,Νέα Δημοκρατία,http://en.wikipedia.org/wiki/New_Democracy_(Greece),,,,34511,153,1300511,,,,402,6143,402,300,30
50,59,40,FPO,Freedom Party of Austria,Freiheitliche Partei Österreichs,Freiheitliche Partei Oesterreichs,,http://en.wikipedia.org/wiki/Freedom_Party_of_Austria,,New party formed on 26 March 1949.,,42420,10,1040420,,204,311,1303,4811,1303,40,24
52,26,3,DCA,Christian Democracy for the Autonomies,Democrazia Cristiana per le Autonomie,Democrazia Cristiana per le Autonomie,,http://en.wikipedia.org/wiki/Christian_Democracy_for_the_Autonomies,,,,,,,,,,,,,380,175
53,56,14,Sfvm,Union of Liberals and Leftist,Samtök frjálslyndra og vinstri manna,Samtok frjalslyndra og vinstri manna,,http://en.wikipedia.org/wiki/Union_of_Liberals_and_Leftists,,Party split from People's Alliance (Ab) after it turned from an electoral alliance into a party. It included former members of the National Preservation Party (Thva) and Hannibal Valdimarsson from the Social Democratic Party.,,15322,,,36,,,,,,352,32
55,26,11,LT,List for Trieste,Lista per Trieste,Lista per Trieste,,http://en.wikipedia.org/wiki/List_for_Trieste,,New party formed in 1978. ,,,,,,,,,,,380,21
57,10,26,DSB|DB,Democrats for a Strong Bulgaria | Democratic Bulgaria,Demokrati za Silna Balgariya | Demokratichna Balgariya,Demokrati za Silna Balgariya | Demokratichna Balgariya,Демократи за силна България | Демократична България,http://en.wikipedia.org/wiki/Democrats_for_a_Strong_Bulgaria,,"Party Democrats for a Strong Bulgaria (DSB) formed on 30 May 2004 by Ivan Kostov as a split of the Union of Democratic Forces (SDS).
DSB formed an electoral alliance Democratic Bulgaria (DB) on 12 April 2018 with Yes, Bulgaria! (DaB) and a parliamentary group after 2021 elections.",,,28,1100001,,,,,,2008,100,49
58,15,12,none,no party affiliation,no party affiliation,no party affiliation,,,,,,,,,,,,,,,440,990
59,43,26,IR|DL,Independent Republicans | Liberal Democracy,Independants républicains | Démocratie libérale,Independants republicains | Democratie liberale,,http://en.wikipedia.org/wiki/Independent_Republicans,,,,,,,,,1410,606,,615,250,57
61,34,6,O,Courage,Ometz,Ometz,אומץ‎,http://en.wikipedia.org/wiki/Ometz_%28political_party%29,,,,72425,,,,,,,,,376,20
62,27,3,UCDCC,Union of Centre and Christian Democracy of Catalonia,Unió del Centre i la Democràcia Cristiana de Catalunya,Unio del Centre i la Democracia Cristiana de Catalunya,,http://es.wikipedia.org/wiki/Uni%C3%B3_del_Centre_i_de_la_Democr%C3%A0cia_Cristiana_de_Catalunya,,,,,,,,,,,,,724,66
63,64,6,LP-PL,Liberal Party,Liberale Partij – Parti libéral,Liberale Partij -- Parti liberal,,http://en.wikipedia.org/wiki/Liberal_Party_%28Belgium%29,,,,21420,,,98,,,,,,56,19
64,1,11,SDA,Social Democratic Alternative,Sociálnodemokratická alternatíva,Socialnodemokraticka alternativa,,http://en.wikipedia.org/wiki/Social_Democratic_Alternative,,,,,,,,,,,4027,,703,42
65,60,16,Mad,Hungarian national community,Madžarska narodna skupnost,Madzarska narodna skupnost,,,,,,,,,,,,,,,705,52
66,67,16,AS,Aland Coalition,Åländsk Samling,Alandsk Samling,,http://en.wikipedia.org/wiki/%C3%85land_Coalition,,Electoral alliance formed for 1948 election.,,,,,,,,,,,246,52
67,26,26,CeD,Centre Right,Centro-destra,Centro-destra,,https://en.wikipedia.org/wiki/Centre-right_coalition,,,"Proxy party for centre right alliances that have formed since the 1990s.
",32629,,,,,,,,,380,130
73,27,16,ARM,Ruiz-Mateos List,Agrupación Ruiz-Mateos,Agrupacion Ruiz-Mateos,,http://es.wikipedia.org/wiki/Agrupaci%C3%B3n_Ruiz-Mateos,,New party formed on 30 August 1989. ,"Van der Eijk and Franklin 1999, p. 469",,,,,,,,,,724,63
74,21,11,Si,Forward (Greenland),Siumut,Siumut,,http://en.wikipedia.org/wiki/Siumut,,New party formed on 29 July 1977.,,,,,,,,,,,208,29
77,68,11,DZJ,Pensioners for a Secure Living,Důchodci za životní jistoty,Duchodci za zivotni jistoty,,,buga,New party movement formed in March 1990 and transformed into a party in 1994.,,82901,,,,,,,,,203,41
81,9,14,SV,Socialist Left Party,Sosialistisk Venstreparti,Sosialistisk Venstreparti,,http://en.wikipedia.org/wiki/Sosialistisk_Venstreparti,,"Party formed on 16 March 1975 as a merger of the Communist Party of Norway (NKP), Socialist People's Party (SF) and independent socialists. ",,12221,,,,1301,2902,1502,7578,3504,578,10
82,63,16,PSN,National Solidarity Party,Partido da Solidariedade Nacional,Partido da Solidariedade Nacional,,https://en.wikipedia.org/wiki/National_Solidarity_Party_(Portugal),,New party registered on 13 March 1991.,,35951,,,,,,1207,,,620,21
86,5,11,SDF,Socialist Democratic Federation,Shaminren,Shaminren,社会民主連合,http://en.wikipedia.org/wiki/Socialist_Democratic_Federation_%28Japan%29,,,,71322,,,,,,,,,392,17
87,8,26,MP,Middle Party,Midden Partij,Midden Partij,,http://en.wikipedia.org/wiki/Nederlandse_Middenstandspartij,,New party formed in 1970.,,,,,,,,,,,528,50
90,62,6,LIBRA,Party of Liberal Democrats,LIBRA – Stranka liberalnih demokrata,LIBRA -- Stranka liberalnih demokrata,,https://en.wikipedia.org/wiki/Party_of_Liberal_Democrats,,Party formed on 21 September 2002.,,,,,,,,,1250,,191,11
92,37,26,CnP,Republican Party,Clann na Poblachta,Clann na Poblachta,,http://en.wikipedia.org/wiki/Clann_na_Poblachta,,New party formed in 1946.,,53714,,,,,,,,,372,28
93,26,6,PRI,Republican Party,Partito Repubblicano Italiano,Partito Repubblicano Italiano,,http://en.wikipedia.org/wiki/Italian_Republican_Party,,,,32410,,,130,1006,2106,806,,806,380,34
94,67,2,KESK,Centre Party,Keskusta,Keskusta,,http://en.wikipedia.org/wiki/Centre_Party_%28Finland%29,,,,14810,90,1246810,17,603,1306,1403,5677,1403,246,27
95,39,40,MIEP,Hungarian Justice and Life Party,Magyar Igazság és Élet Pártja,Magyar Igazsag es Elet Partja,,http://en.wikipedia.org/wiki/Hungarian_Justice_and_Life_Party,,,,86620,,,,,,,1950,2305,348,22
99,26,3,CCD,Christian Democratic Centre,Centro Cristiano Democratico,Centro Cristiano Democratico,,http://en.wikipedia.org/wiki/Christian_Democratic_Centre,,,,32521,,,,,,815,,814,380,105
104,9,11,DNA,Norwegian Labour Party,Det norske Arbeiderparti,Det norske Arbeiderparti,,https://en.wikipedia.org/wiki/Labour_Party_(Norway),,New party formed on 22 August 1887.,,12320,,,40,1302,2903,1503,7488,3501,578,31
106,34,26,Sh,Peace-Zion,Shlomtzion,Shlomtzion,שלומציון‎,http://en.wikipedia.org/wiki/Shlomtzion_%28political_party%29,,,,72623,,,,,,,,,376,32
107,63,26,PPM,Popular Monarchist Party,Partido Popular Monárquico,Partido Popular Monarquico,,http://en.wikipedia.org/wiki/People%27s_Monarchist_Party_%28Portugal%29,,New party formed on 23 May 1974.,,35710,244,,,,,1203,,,620,18
108,74,11,S,Solidarnosc,Solidarność,Solidarnosc,,http://en.wikipedia.org/wiki/Solidarity_(Polish_trade_union),,,,92320,,,,,,,,,616,49
109,74,16,KPEiR,National Party of Pensioners and Retired,Krajowa Partia Emerytów i Rencistów,Krajowa Partia Emerytow i Rencistow,,http://pl.wikipedia.org/wiki/Krajowa_Partia_Emeryt%C3%B3w_i_Rencist%C3%B3w,,New party formed on 5 June 1994. ,,,,,,,,,,,616,69
110,20,40,MDP,Nationalist Democratic Party,Milliyetçi Demokrasi Partisi,Milliyetci Demokrasi Partisi,,http://en.wikipedia.org/wiki/Nationalist_Democracy_Party,,Party was dissolved on 4 May 1986.,,74711,,,,,,,,,792,16
112,8,16,AOV|VSP,General Senior Union | United Seniors Party,Algemeen Ouderen Verbond | Verenigde Senioren Partij,Algemeen Ouderen Verbond | Verenigde Senioren Partij,,http://en.wikipedia.org/wiki/Algemeen_Ouderen_Verbond,,New party formed on 1 December 1993.,,,,,,,,,,,528,25
113,75,6,ERe,Estonian Reform Party,Eesti Reformierakond,Eesti Reformierakond,,http://en.wikipedia.org/wiki/Eesti_Reformierakond,,"Party formed on 18 November 1994 as a split from the Pro Patria National Coalition Party. It was founded by Siim Kallas, the president of the Estonian Bank at the time.",,83430,82,1233430,,,1208,,1794,2203,233,37
114,11,16,MP,Maori Party,Māori Party,Maori Party,,http://en.wikipedia.org/wiki/M%C4%81ori_Party,,Party formed on 7 July 2004.,,64951,,,,,,,,,554,13
118,27,14,PCE|IU,Communist Party | United Left,Partido Communista | Izquierda Unida,Partido Communista | Izquierda Unida,,http://en.wikipedia.org/wiki/United_Left_(Spain),,,,33220,273,1724220,,1404,3602,504,7760,504,724,57
119,64,3,CSP,Christian Social Party,Christlich Soziale Partei,Christlich Soziale Partei,,http://en.wikipedia.org/wiki/CSP-EVP,,,,,,,,,,,,,56,14
120,33,11,AD,Australian Democrats,Australian Democrats,Australian Democrats,,http://en.wikipedia.org/wiki/Australian_Democrats,,,,63321,,,,102,203,,4703,,36,19
121,27,16,IP,Left of the Peoples,Izquierda de los Pueblos,Izquierda de los Pueblos,,http://es.wikipedia.org/wiki/Izquierda_de_los_Pueblos_(1989),,,,,,,,,,,,,724,12
123,34,12,none,no party affiliation,no party affiliation,no party affiliation,,,,,,,,,,,,,,,376,990
128,26,3,CDU,United Christian Democrats,Cristiani Democratici Uniti,Cristiani Democratici Uniti,,http://en.wikipedia.org/wiki/United_Christian_Democrats,,,,,,,,,,818,,818,380,111
131,1,3,SDKU-DS,Slovak Democratic and Christian Union -- Democratic Party,Slovenská demokratická a kresťanská únia – Demokratická strana,Slovenska demokraticka a krestanska unia -- Demokraticka strana,,http://en.wikipedia.org/wiki/Slovak_Democratic_and_Christian_Union_%E2%80%93_Democratic_Party,,Party formed on 18 February 2000 as split from Christian Democratic Movement (KDH) by PM Mikuláš Dzurinda. It was based on Slovak Democratic Coalition (SDK) alliance. ,,96523,256,1703523,,,,,4079,2802,703,10
133,10,12,none,no party affiliation,no party affiliation,no party affiliation,,,,,,,,,,,,,,,100,990
134,56,12,none,no party affiliation,no party affiliation,no party affiliation,,,,,,,,,,,,,,,352,990
135,27,6,UCD,Union of the Democratic Centre,Unión de Centro Democrático,Union de Centro Democratico,,http://en.wikipedia.org/wiki/Union_of_the_Democratic_Centre_%28Spain%29,,,,33430,,,,1410,,,,,724,58
137,54,3,DZ,Centre Party,Deutsche Zentrumspartei,Deutsche Zentrumspartei,,http://en.wikipedia.org/wiki/Centre_Party_%28Germany%29,,,,41522,,,,,,,,,276,31
138,43,26,RPR,Rally for the Republic,Rassemblement pour la république,Rassemblement pour la republique,,http://en.wikipedia.org/wiki/Rassemblement_pour_la_R%C3%A9publique,,,,31621,,,,706,1411,609,5887,609,250,40
139,67,26,SKYP,Finnish People's Unity Party,Suomen kansan yhtenäisyyden puolueen – Finlands folks enhetsparti,Suomen kansan yhtenaisyyden puolueen -- Finlands folks enhetsparti,,http://en.wikipedia.org/wiki/Party_of_the_Unity_of_the_Finnish_People,"edu, rpfi",Most MPs from the Rural Party (SMP) formed a new parliamentary group on 17 October 1972 and the party was registered on 29 December 1972.,,,,,,,,,,,246,21
141,40,19,Grue,Greens,Grüne – Écologiste,Gruene -- Ecologiste,,http://en.wikipedia.org/wiki/Green_Party_of_Switzerland,,New party formed in 1971. ,,43110,290,,,,,1711,8044,3605,756,10
142,26,3,PPI,Italian People's Party,Partito Popolare Italiano,Partito Popolare Italiano,,http://en.wikipedia.org/wiki/Italian_People%27s_Party_%281994%29,,,,32520,,,,,,801,,823,380,79
143,60,11,DS,Democratic Party,Demokratska stranka,Demokratska stranka,,http://en.wikipedia.org/wiki/Democratic_Party_of_Slovenia,,,,97430,,,,,,,,,705,37
147,56,19,KL,Women's Alliance,Kvennalistinn,Kvennalistinn,,http://en.wikipedia.org/wiki/Women%27s_List,,New party formed in 1983.,,15951,,,,,1701,,,,352,27
148,74,26,ROP,Movement for the Reconstruction of Poland,Ruch Odbudowy Polski,Ruch Odbudowy Polski,,http://en.wikipedia.org/wiki/Ruch_Odbudowy_Polski,,,,92621,,,,,,,3058,,616,45
151,7,14,KPL,Communist Party of Luxembourg,Kommunistesch Partei Lëtzebuerg,Kommunistesch Partei Letzebuerg,,http://en.wikipedia.org/wiki/Communist_Party_of_Luxembourg,,New party formed on 2 January 1921. ,,23220,216,1442220,135,,,904,,,442,20
152,23,28,GDC,Democratic Group of the Centre,Grupul Democrat de Centru,Grupul Democrat de Centru,,,,,,93529,,,,,,,,,642,65
154,33,6,LNPQ,Liberal National Party of Queensland,Liberal National Party of Queensland,Liberal National Party of Queensland,,http://en.wikipedia.org/wiki/Liberal_National_Party_of_Queensland,,,,,,,,,,,,,36,15
156,37,11,NL,National Labour Party,National Labour Party,National Labour Party,,http://en.wikipedia.org/wiki/National_Labour_Party_(Ireland),,,,,,,,,,,,,372,19
161,64,19,Ecolo,Confederated ecologists for the organisation of original struggles,Écologistes Confédérés pour l'organisation de luttes originales,Ecologistes Confederes pour l'organisation de luttes originales,,http://en.wikipedia.org/wiki/Ecolo,,,,21111,23,1056111,,305,402,104,4923,104,56,10
163,5,11,DRP,Democratic Reform Party,Min-kai-ren,Min-kai-ren,民主改革連合,http://ja.wikipedia.org/wiki/%E6%B0%91%E4%B8%BB%E6%94%B9%E9%9D%A9%E9%80%A3%E5%90%88,kyodo,New party formed in 1989. ,,,,,,,,,,,392,15
167,64,11,BSP-PSB,Belgian Socialist Party,Belgische Socialistische Partij – Parti Socialiste Belge,Belgische Socialistische Partij -- Parti Socialiste Belge,,http://en.wikipedia.org/wiki/Belgian_Socialist_Party,,,,21320,,,93,302,,,,,56,66
170,5,26,NLC,New Liberal Club,Shin-jiyū-kurabu,Shin jiyu karuba,新自由クラブ,http://en.wikipedia.org/wiki/New_Liberal_Club,,,,71621,,,,,,,,,392,32
171,64,40,FN,National Front,Front National,Front National,,http://en.wikipedia.org/wiki/Front_national_(Belgium),,New party formed in 1895.,,,,1056710,,,,,4943,115,56,38
176,26,40,MSFT,Fiamma Tricolore,Fiamma Tricolore,Fiamma Tricolore,,http://en.wikipedia.org/wiki/Fiamma_Tricolore,,,,,175,,,,,,6726,821,380,64
177,43,11,d-gauche,other left,divers gauche,divers gauche,,,,,Formally no party but group of independ left MPs.,,,,,,,,,,250,48
179,60,3,SDS,Slovenian Democratic Party,Slovenska demokratska stranka,Slovenska demokratska stranka,,http://en.wikipedia.org/wiki/Social_Democratic_Party_of_Slovenia,,,Difficult to classify party family due to a change from an originally Centre-Left to a Centre-Right to a Right-Wing party.,97320,263,1705320,,,,,4261,2902,705,36
180,74,11,LiD,Left and Democrats,Lewica i Demokraci,Lewica i Demokraci,,http://en.wikipedia.org/wiki/Left_and_Democrats,,,,,,,,,,,3102,,616,31
181,74,40,X,Party X,Partia X,Partia X,,http://pl.wikipedia.org/wiki/Partia_X,,New party formed on 10 December 1991. ,,92712,,,,,,,,,616,26
184,33,26,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,,http://en.wikipedia.org/wiki/National_Party_of_Australia,,,,63810,,,,104,206,,4775,,36,18
187,54,40,DRP,German Reich Party,Deutsche Reichspartei,Deutsche Reichspartei,,http://en.wikipedia.org/wiki/Deutsche_Reichspartei,,The party was founded in the year 1950 as a merger of the Deutsche Konservative Partei – Deutsche Rechtspartei and the Nationaldemokratische Partei (Hesse).,,41712,,,,,,,,,276,37
188,34,6,LA,Independent Liberals,Libralim Atzma'im,Libralim Atzma'im,ליברלים עצמאיים‎,http://en.wikipedia.org/wiki/Independent_Liberals_%28Israel%29,,,,72410,,,150,,,,,,376,23
189,21,14,VS,Left Socialists,Venstresocialisterne,Venstresocialisterne,,http://en.wikipedia.org/wiki/Left_Socialists,,,,13210,,,6,501,,215,,,208,33
191,15,2,LVLS,Lithuanian Peasant Union,Lietuvos valstiečių sąjunga,Lietuvos valstiecic sajunga,,http://en.wikipedia.org/wiki/Lithuanian_Peasant_and_Greens_Union,,,,,,,,,,,2432,,440,21
196,68,19,SZ,Green Party,Strana zelených,Strana zelenych,,http://en.wikipedia.org/wiki/Green_Party_(Czech_Republic),,New party formed on 9 December 1989.,,,61,1203110,,,,,1536,2107,203,22
198,39,28,HVK,Patriotic Elections Coalition,Hazafias Választási Koalíció,Hazafias Valasztasi Koalicio,,http://hu.wikipedia.org/wiki/Hazafias_N%C3%A9pfront#Megsz.C5.B1n.C3.A9se,,,,,,,,,,,,,348,42
199,60,16,Ita,Italian national community,Italijanska narodna skupnost,Italijanska narodna skupnost,,,,,,,,,,,,,,,705,50
200,67,2,SP|P,Finnish Party | True Finns,Suomen Puolue | Perussuomalaiset,Suomen Puolue | Perussuomalaiset,,https://en.wikipedia.org/wiki/Finns_Party,pc,,"""Suomen maaseudun puolue' (SMP) and 'Perussuomalaiset' (PS) are technically and legally two different parties. PS was established when SMP went bankrupt. But most of the persons working in SMP continued to work in PS. (...) In actual analysis most Finnish political scientists tend to handle them as same parties."" (Mikko Mattila, University of Helsinki; personal communication, October 2009)",14820,89,1246820,25,605,1307,1405,5717,1405,246,26
202,7,16,Z-EF,Coerced Conscripts,Zwangsrekrutéierten,Zwangsrekruteierten,,http://en.wikipedia.org/wiki/Enr%C3%B4l%C3%A9s_de_Force,,New party formed for 1979 election.,,,,,,,,,,,442,12
203,55,40,TB,For Fatherland and Freedom,Tēvzemei un Brīvībai,Tevzemei un Brivibai,,http://en.wikipedia.org/wiki/Tevzemei_un_Brivibai,,New party formed on 1 February 1993,,87721,,,,,,,,,428,32
205,56,11,Th-Ff,People's Movement,Þjóðvaki – Fylking fólksins,Thjodvaki -- Fylking folksins,,http://en.wikipedia.org/wiki/Awakening_of_the_Nation,indridason,,,15323,,,,,,,,,352,19
207,74,2,SRP,Self-Defense of the Republic Poland,Samoobrona Rzeczypospolitej Polskiej,Samoobrona Rzeczypospolitej Polskiej,,http://en.wikipedia.org/wiki/Self-Defence_of_the_Republic_of_Poland,,New party formed on 10 January 1992. ,,92622,384,,,,,,3076,2604,616,56
209,8,40,CD,Centre Democrats,Centrum Democraten,Centrum Democraten,,http://en.wikipedia.org/wiki/Centrum_Democraten,,,,,,,,,2609,1009,,1009,528,52
210,56,19,Graen,Left-Green Movement,Vinstrihreyfingin – grænt framboð,Vinstrihreyfingin -- graent frambod,,http://en.wikipedia.org/wiki/Left-Green_Movement,,Party formed on 07 February 1999 as a split from the People's Alliance. ,,15111,,,,,,,6273,,352,10
211,21,6,RV,Danish Social Liberal Party,Det Radikale Venstre,Det Radikale Venstre,,http://en.wikipedia.org/wiki/Danish_Social_Liberal_Party,,Danish Social Liberal Party (RV) formed on 21 May 1905 as split from Liberal Party (V) over military expenditure and issues of redistribution.,,13410,68,1208410,2,505,1104,202,5585,202,208,19
212,8,3,RPF,Reformatory Political Federation,Reformatorische Politieke Federati,Reformatorische Politieke Federati,,http://en.wikipedia.org/wiki/Reformatory_Political_Federation,,,,,,,,1109,2608,1008,,1008,528,41
213,43,3,MR,Reformers Movement,Mouvement réformateur,Mouvement reformateur,,http://en.wikipedia.org/wiki/Reforming_Movement,,,,31529,,,,,,,,613,250,31
214,34,40,MDL|HH,National Religious Party | The Jewish Home,Miflaga Datit Leumit (Mafdal) | Habayit Hayehudi,Miflaga Datit Leumit (Mafdal) | Habayit Hayehudi,מפלגה דתית לאומית |‎ הַבַּיִת,http://en.wikipedia.org/wiki/National_Religious_Party,,,,72530,,,151,,,,6522,,376,46
215,33,6,CouLP,Country Liberal Party,Country Liberal Party,Country Liberal Party,,http://en.wikipedia.org/wiki/Country_Liberal_Party,,New party formed in 1974. ,,,,,,,,,,,36,12
217,72,26,PKP,Progressive Constitutionalist Party,Partit Kostituzzjonali Progressiv,Partit Kostituzzjonali Progressiv,,http://www.maltadata.com/abbrev.htm,no-2010,,"'Formed in October 1953 by Mabel Strickland, a former leader of the Constitutional Party.' (Mackie/Rose 1991, 313)",,,,,,,,,,470,17
219,75,19,EER,Estonian Greens,Erakond Eestimaa Rohelised,Erakond Eestimaa Rohelised,,http://en.wikipedia.org/wiki/Estonian_Greens,blt,New party formed 25 November 2006 after more than 1000 new members joined party.,"Previous Estonian Greens had less than 1000 members and did not meet the registration requirements for the 2003 election. It was absorbed into the Center Party. (see 'Who are Estonia’s Greens?' The Baltic Times,  28 March 2007)",,79,1233100,,,,,,2207,233,10
220,1,11,Smer,Direction -- Social Democracy,Smer – sociálna demokracia,Smer -- socialna demokracia,,http://en.wikipedia.org/wiki/Party_Direction_-_Third_Way,,,,96423,258,1703423,,,,,4157,2803,703,37
221,64,6,LD|LDD,"List Dedecker | Libertarian, Direct, Democratic","Lijst Dedecker | Libertair, Direct, Democratisch","Lijst Dedecker | Libertair, Direct, Democratisch",,"https://en.wikipedia.org/wiki/Libertair,_Direct,_Democratisch",, ,,,14,1056600,,,,,,117,56,70
224,40,14,PSA,Autonomous Socialist Party,Partito socialista autonomo,Partito socialista autonomo,,https://en.wikipedia.org/wiki/Autonomous_Socialist_Party_(Ticino),"ejpr, hls","The party was formed on 27 April 1969 (HLS).
The PSA and different socialist tendencies in the canton of Tessin formed the PSU in 1992 (EJPR 1992, 528).",,,,,,,,1710,,,756,34
226,26,3,UC,Union / Centre,Unione / Centro,Unione / Centro,,http://en.wikipedia.org/wiki/Democrats%27_Centre_Union,,,,,188,1380523,,,,818,6846,818,380,106
